ID,Category,Title,Primary Keyword,Search Intent,Priority,Difficulty,Monetization Potential,Status,Notes
1,Home Fitness,Best Home Gym Equipment for Beginners,best home gym equipment for beginners,Commercial Investigation,High,Medium,High,HTML Published - Placeholder,Existing guide page needs full content written
2,Home Fitness,Best Adjustable Dumbbells 2026,best adjustable dumbbells,Commercial Investigation,High,Medium,High,Idea,High volume keyword; Amazon has many options at various price points
3,Home Fitness,Best Budget Treadmills Under $600,best treadmill under 600,Commercial Investigation,High,Hard,High,Idea,Expensive item = high commission; very competitive keyword
4,Home Fitness,Best Exercise Bikes Under $500,best exercise bike under 500,Commercial Investigation,High,Medium,High,Idea,Peloton hype drives searches; budget alternatives angle works well
5,Home Fitness,Best Fitness Trackers 2026,best fitness tracker 2026,Commercial Investigation,High,Hard,High,Idea,Evergreen high-volume term; update annually
6,Home Fitness,Best Resistance Bands Sets,best resistance bands,Commercial Investigation,Medium,Easy,Medium,Idea,Low-cost item but very high search volume; good for beginners audience
7,Home Fitness,Best Pull-Up Bars for Home,best pull up bar for home,Commercial Investigation,Medium,Easy,Medium,Idea,Simple purchase decision; good beginner-friendly content
8,Home Fitness,Best Yoga Mats 2026,best yoga mat,Commercial Investigation,Medium,Hard,Medium,Idea,Extremely competitive; differentiate with specific use case angles
9,Home Fitness,Best Kettlebells for Home Workouts,best kettlebells for home,Commercial Investigation,Medium,Medium,Medium,Idea,Growing category; good internal link to home gym equipment guide
10,Home Fitness,Best Home Gym Flooring,best gym flooring for home,Commercial Investigation,Medium,Medium,Medium,Idea,Often overlooked; low competition angle; pairs well with gym equipment guides
11,Home Fitness,Best Ab Rollers 2026,best ab roller,Commercial Investigation,Low,Easy,Low,Idea,Low-cost item; decent volume; easy win for new site
12,Home Fitness,Best Foam Rollers for Recovery,best foam roller,Commercial Investigation,Low,Easy,Low,Idea,Recovery audience; links well to workout equipment guides
13,Home Fitness,Best Jump Ropes for Home Cardio,best jump rope for workout,Commercial Investigation,Low,Easy,Low,Idea,Budget item; easy content; good for internal linking
14,Home Fitness,Best Weight Benches Under $300,best weight bench under 300,Commercial Investigation,High,Medium,High,Idea,Essential piece of equipment; pairs well with dumbbell guide
15,Home Fitness,Best Rowing Machines Under $800,best rowing machine under 800,Commercial Investigation,Medium,Medium,High,Idea,High-ticket item; growing popularity post-COVID home fitness boom
16,Home Fitness,Best Elliptical Machines for Home,best elliptical machine for home,Commercial Investigation,Medium,Hard,High,Idea,High-ticket; competitive; differentiate with space-saving angle
17,Home Fitness,Best Home Gym Mirrors,best mirror for home gym,Commercial Investigation,Low,Easy,Medium,Idea,Niche but growing; low competition; good upsell from gym equipment
18,Home Office,Best Budget Standing Desks Under $400,best standing desk under 400,Commercial Investigation,High,Medium,High,HTML Published - Placeholder,Existing guide page needs full content written
19,Home Office,Best Ergonomic Office Chairs Under $400,best ergonomic office chair under 400,Commercial Investigation,High,Hard,High,Idea,High-demand WFH keyword; premium commissions on chairs
20,Home Office,Best Budget 4K Monitors 2026,best 4k monitor under 300,Commercial Investigation,High,Medium,High,Idea,Tech purchase with good commission; update annually
21,Home Office,Best Mechanical Keyboards for Work,best mechanical keyboard for work,Commercial Investigation,High,Medium,High,Idea,Strong WFH search; wide price range enables good recommendations
22,Home Office,Best USB Microphones for Remote Work,best usb microphone for remote work,Commercial Investigation,High,Medium,High,Idea,Post-COVID permanent WFH demand; clear use case angle
23,Home Office,Best Webcams for Video Calls 2026,best webcam for video calls,Commercial Investigation,High,Medium,High,Idea,WFH staple; many options across price points
24,Home Office,Best Desk Lamps for Home Office,best desk lamp for home office,Commercial Investigation,Medium,Easy,Medium,Idea,Low ticket but good volume; pairs with standing desk guide
25,Home Office,Best Monitor Arms and Desk Mounts,best monitor arm desk mount,Commercial Investigation,Medium,Easy,Medium,Idea,WFH accessory; easy install guides add value
26,Home Office,Best Laptop Stands 2026,best laptop stand,Commercial Investigation,Medium,Easy,Medium,Idea,Simple purchase; pairs with keyboard and monitor guides
27,Home Office,Best Cable Management Solutions for Desk,best cable management for desk,Commercial Investigation,Low,Easy,Low,Idea,Low ticket; but very practical; good WFH setup content
28,Home Office,Best Desk Organizers 2026,best desk organizer,Commercial Investigation,Low,Easy,Low,Idea,Low competition; easy content; broad office audience
29,Home Office,Best Wireless Keyboards and Mice Combos,best wireless keyboard mouse combo,Commercial Investigation,Medium,Medium,Medium,Idea,Popular WFH bundle search; wide price range
30,Home Office,Best Standing Desk Converters,best standing desk converter,Commercial Investigation,Medium,Medium,Medium,Idea,Good alternative angle to full standing desks; different buyer
31,Home Office,Best Home Office Headsets,best headset for home office,Commercial Investigation,High,Medium,High,Idea,WFH essential; wide price range; strong commercial intent
32,Home Office,Best Whiteboards for Home Office,best whiteboard for home office,Commercial Investigation,Low,Easy,Low,Idea,Niche but practical; low competition opportunity
33,Home Office,Best Noise-Canceling Headphones for Work,best noise canceling headphones for work,Commercial Investigation,High,Hard,High,Idea,High-ticket audio; Sony/Bose dominate but budget alternatives angle works
34,Home Office,Best Portable Monitors 2026,best portable monitor,Commercial Investigation,Medium,Medium,High,Idea,Growing category for WFH and travel workers; decent commissions
35,Tech & Gadgets,Best Smartwatches Under $300,best smartwatch under 300,Commercial Investigation,High,Hard,High,HTML Published - Placeholder,Existing guide page needs full content written
36,Tech & Gadgets,Best Wireless Earbuds Under $100,best wireless earbuds under 100,Commercial Investigation,High,Hard,High,Idea,Massive volume; budget angle differentiates from premium reviews
37,Tech & Gadgets,Best Laptops Under $800 2026,best laptop under 800,Commercial Investigation,High,Hard,High,Idea,Very competitive; focus on use case angles (students/WFH/etc)
38,Tech & Gadgets,Best Smart Home Starter Kits,best smart home starter kit,Commercial Investigation,High,Medium,High,Idea,Growing category; Amazon ecosystem angle is natural for Associates
39,Tech & Gadgets,Best Portable Chargers and Power Banks,best portable charger power bank,Commercial Investigation,High,Medium,Medium,Idea,High volume; huge range of products; easy comparison content
40,Tech & Gadgets,Best Smart Speakers 2026,best smart speaker 2026,Commercial Investigation,High,Hard,High,Idea,Amazon Echo vs Google Nest comparison angle; natural affiliate fit
41,Tech & Gadgets,Best Tablets Under $400 2026,best tablet under 400,Commercial Investigation,High,Hard,High,Idea,Competitive; differentiate with use cases (kids/seniors/students)
42,Tech & Gadgets,Best Mechanical Gaming Keyboards,best mechanical gaming keyboard,Commercial Investigation,Medium,Medium,High,Idea,Gaming audience crossover; premium price points
43,Tech & Gadgets,Best Budget Gaming Mice,best gaming mouse under 50,Commercial Investigation,Medium,Medium,Medium,Idea,Entry-level gaming; high volume search; easy affiliate content
44,Tech & Gadgets,Best 4K Streaming Devices 2026,best 4k streaming device,Commercial Investigation,High,Medium,Medium,Idea,Fire TV Stick vs Roku vs Apple TV comparison; natural Amazon fit
45,Tech & Gadgets,Best Smart Plugs 2026,best smart plug,Commercial Investigation,Medium,Easy,Medium,Idea,Low ticket; high volume; easy content; smart home gateway product
46,Tech & Gadgets,Best Robot Vacuums Under $300,best robot vacuum under 300,Commercial Investigation,High,Medium,High,Idea,High volume budget angle; Roomba alternatives; good commissions
47,Tech & Gadgets,Best Dash Cams 2026,best dash cam 2026,Commercial Investigation,Medium,Medium,Medium,Idea,Safety purchase; evergreen content; clear product differentiation
48,Tech & Gadgets,Best Action Cameras Under $300,best action camera under 300,Commercial Investigation,Medium,Medium,High,Idea,GoPro alternatives; strong commercial intent; decent commissions
49,Tech & Gadgets,Best Portable Bluetooth Speakers,best portable bluetooth speaker,Commercial Investigation,High,Hard,Medium,Idea,Very high volume; competitive; focus on outdoor/waterproof angle
50,Tech & Gadgets,Best E-Readers 2026,best e-reader 2026,Commercial Investigation,High,Medium,High,Idea,Kindle vs Kobo comparison; natural Amazon affiliate angle
51,Tech & Gadgets,Best USB Hubs and Docking Stations,best usb hub docking station,Commercial Investigation,Medium,Easy,Medium,Idea,WFH accessory; pairs well with laptop and monitor guides
52,Family & Parenting,Best Family SUVs for Value,best family suv for the money,Commercial Investigation,High,Hard,High,HTML Published - Placeholder,Existing guide page needs full content written; note: auto = lower Amazon commission but very high click volume
53,Family & Parenting,Best Baby Monitors 2026,best baby monitor 2026,Commercial Investigation,High,Medium,High,Idea,Evergreen parenting purchase; high anxiety = thorough guide converts well
54,Family & Parenting,Best Car Seats for Toddlers,best car seat for toddlers,Commercial Investigation,High,Hard,High,Idea,Safety-critical purchase; parents research heavily; high intent
55,Family & Parenting,Best Baby Strollers Under $400,best baby stroller under 400,Commercial Investigation,High,Hard,High,Idea,High-ticket baby purchase; competitive but strong commercial intent
56,Family & Parenting,Best White Noise Machines for Babies,best white noise machine for baby,Commercial Investigation,Medium,Easy,Medium,Idea,Niche; low competition; parents desperate to solve sleep issues
57,Family & Parenting,Best Learning Tablets for Kids,best learning tablet for kids,Commercial Investigation,High,Medium,High,Idea,Gift season driver; Amazon Fire Kids is natural recommendation
58,Family & Parenting,Best Educational Toys for 3-5 Year Olds,best educational toys for 3 year olds,Commercial Investigation,High,Medium,High,Idea,Gift-driven; high seasonal spikes; excellent Amazon affiliate target
59,Family & Parenting,Best Backpacks for Elementary School Kids,best backpack for elementary school,Commercial Investigation,Medium,Medium,Medium,Idea,Back-to-school seasonal spike; decent volume year-round
60,Family & Parenting,Best Bike Helmets for Kids,best bike helmet for kids,Commercial Investigation,Medium,Medium,Medium,Idea,Safety purchase; parents research carefully; good internal links
61,Family & Parenting,Best Baby Bouncers and Rockers,best baby bouncer,Commercial Investigation,Medium,Medium,High,Idea,New parent essential; wide price range; good commission potential
62,Family & Parenting,Best Baby Food Makers,best baby food maker,Commercial Investigation,Medium,Easy,Medium,Idea,Niche but clear audience; health-conscious parent angle
63,Family & Parenting,Best Convertible Car Seats 2026,best convertible car seat,Commercial Investigation,High,Hard,High,Idea,Long-term investment; parents research extensively; strong intent
64,Family & Parenting,Best Kids Walkie Talkies,best walkie talkies for kids,Commercial Investigation,Low,Easy,Low,Idea,Seasonal gift item; low ticket; easy content; good holiday traffic
65,Family & Parenting,Best Board Games for Families,best board games for families,Commercial Investigation,Medium,Medium,Medium,Idea,Gift-driven; holiday seasonal spikes; wide age range
66,Family & Parenting,Best Video Baby Monitors with App Control,best video baby monitor with app,Commercial Investigation,High,Medium,High,Idea,Premium version of #53; higher-ticket items
67,Family & Parenting,Best Toddler Beds Under $200,best toddler bed under 200,Commercial Investigation,Medium,Medium,Medium,Idea,Milestone purchase; parents research thoroughly
68,Family & Parenting,Best Kids Smartwatches 2026,best smartwatch for kids,Commercial Investigation,Medium,Medium,Medium,Idea,Growing category; safety/GPS features are key differentiators
69,Home Products,Best Robot Vacuums for Every Budget,best robot vacuum,Commercial Investigation,High,Hard,High,Idea,Massive category; budget vs premium angle works well; high commissions
70,Home Products,Best Coffee Makers Under $100,best coffee maker under 100,Commercial Investigation,High,Medium,Medium,Idea,Very high volume; kitchen staple; easy comparison content
71,Home Products,Best Air Purifiers for Home,best air purifier for home,Commercial Investigation,High,Medium,High,Idea,Health-driven purchase; post-COVID elevated demand; good commissions
72,Home Products,Best Instant Pots and Multi-Cookers,best instant pot multi cooker,Commercial Investigation,High,Medium,High,Idea,Instant Pot is dominant brand; alternatives angle + comparison works
73,Home Products,Best Smart Thermostats 2026,best smart thermostat 2026,Commercial Investigation,High,Medium,High,Idea,Energy saving angle; Nest vs Ecobee comparison; natural search
74,Home Products,Best Cordless Vacuum Cleaners 2026,best cordless vacuum 2026,Commercial Investigation,High,Hard,High,Idea,Dyson dominates; budget alternatives angle; high commission on premium
75,Home Products,Best Air Fryers Under $100,best air fryer under 100,Commercial Investigation,High,Medium,Medium,Idea,Massive volume; kitchen staple; very wide choice makes guide valuable
76,Home Products,Best Blenders Under $100,best blender under 100,Commercial Investigation,High,Medium,Medium,Idea,Kitchen essential; budget angle; easy product differentiation
77,Home Products,Best Mattresses Under $1000 2026,best mattress under 1000,Commercial Investigation,High,Hard,High,Idea,Very high commission on mattresses; intensely researched purchase
78,Home Products,Best Smart Video Doorbells 2026,best video doorbell 2026,Commercial Investigation,High,Medium,High,Idea,Ring vs Nest vs alternatives; strong commercial intent; security angle
79,Home Products,Best Dehumidifiers for Home,best dehumidifier for home,Commercial Investigation,Medium,Medium,Medium,Idea,Problem-solving purchase; seasonal demand; clear feature differentiation
80,Home Products,Best Tower Fans vs Standing Fans: Which Is Better,tower fan vs standing fan,Informational,Low,Medium,Medium,Idea,Informational but links to product recommendations; comparison content
81,Home Products,Best Slow Cookers 2026,best slow cooker 2026,Commercial Investigation,Medium,Medium,Medium,Idea,Kitchen staple; wide range of buyers; meal prep angle adds value
82,Home Products,Best Espresso Machines Under $300,best espresso machine under 300,Commercial Investigation,High,Medium,High,Idea,Coffee enthusiast audience; high ticket for the price point; passionate buyers
83,Home Products,Best Whole House Water Filters,best whole house water filter,Commercial Investigation,Medium,Medium,High,Idea,Health and safety driven; high-ticket install; good commission
84,Home Products,Best Electric Kettles 2026,best electric kettle 2026,Commercial Investigation,Medium,Easy,Medium,Idea,Simple purchase; tea/coffee drinker audience; low competition
85,Money Saving,Best Cashback Apps 2026,best cashback apps,Commercial Investigation,High,Medium,Medium,Idea,High volume; recurring use product; referral links possible
86,Money Saving,Best Price Tracking Tools and Browser Extensions,best price tracking tool amazon,Informational,High,Medium,Low,Idea,Informational intent but natural fit for affiliate site; build trust
87,Money Saving,Best Times to Buy Electronics to Save the Most,best time to buy electronics,Informational,Medium,Medium,Low,Idea,Informational; links to electronics guides; trust builder
88,Money Saving,Best Budget Meal Planning Apps,best meal planning app budget,Commercial Investigation,Medium,Easy,Medium,Idea,App affiliate programs; health + saving overlap audience
89,Money Saving,Best Coupon Apps for Grocery Shopping,best grocery coupon app,Commercial Investigation,High,Medium,Medium,Idea,Very practical; mass audience; Ibotta and similar have referral programs
90,Money Saving,Best Cashback Credit Cards for Gas 2026,best cashback credit card gas,Commercial Investigation,High,Hard,High,Idea,Credit card affiliate = highest commissions in finance; very competitive
91,Money Saving,Best Free Investment Apps for Beginners,best investment app for beginners,Commercial Investigation,High,Medium,High,Idea,Fintech affiliate programs pay well; massive evergreen audience
92,Money Saving,Best Grocery Delivery Services Compared,best grocery delivery service,Commercial Investigation,Medium,Medium,Medium,Idea,Instacart vs Amazon Fresh vs others; referral programs available
93,Money Saving,Best Budgeting Apps 2026,best budgeting app 2026,Commercial Investigation,High,Medium,Medium,Idea,YNAB vs Mint vs alternatives; app affiliate programs; evergreen
94,Money Saving,Best Ways to Save Money on Amazon Purchases,how to save money on amazon,Informational,High,Medium,Low,Idea,Informational trust-builder; internal links to product guides; high volume
95,Money Saving,Best Streaming Services for the Price in 2026,best streaming service for the money,Commercial Investigation,High,Medium,Medium,Idea,Netflix vs Hulu vs Disney+ comparison; affiliate programs available
96,Money Saving,Best Cell Phone Plans Under $30 a Month,best cell phone plan under 30,Commercial Investigation,High,Hard,High,Idea,Carrier affiliate programs pay well; MVNO comparison is underserved
97,Money Saving,Best Buy Now Pay Later Apps Compared,best buy now pay later app,Commercial Investigation,Medium,Medium,Low,Idea,Growing category; some affiliate programs; informational angle
98,Money Saving,Best Side Hustles to Make Extra Money in 2026,best side hustles 2026,Informational,High,Hard,Low,Idea,Very high volume; informational; internal linking opportunity to relevant products
99,Money Saving,Best Free Tax Filing Software 2026,best free tax software 2026,Commercial Investigation,High,Medium,Medium,Idea,Seasonal spike Jan-April; TurboTax vs H&R Block vs FreeTaxUSA
100,Money Saving,Best High-Yield Savings Accounts 2026,best high yield savings account,Commercial Investigation,High,Hard,High,Idea,Fintech affiliate = high commissions; evergreen with annual updates needed
